2026-06-14 20:12:29 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:29 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:12:31 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 3/3)
2026-06-14 20:12:31 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:31 | ERROR    | websocket | Max retries reached. Closing WebSocket.
2026-06-14 20:12:35 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:12:35 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:12:35 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:35 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:12:37 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 2/3)
2026-06-14 20:12:37 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:37 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:12:39 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 3/3)
2026-06-14 20:12:40 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:40 | ERROR    | websocket | Max retries reached. Closing WebSocket.
2026-06-14 20:12:45 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:12:45 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:12:45 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:45 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:12:47 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 2/3)
2026-06-14 20:12:47 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:47 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:12:49 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 3/3)
2026-06-14 20:12:49 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:49 | ERROR    | websocket | Max retries reached. Closing WebSocket.
2026-06-14 20:13:33 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:13:33 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:13:33 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:13:33 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:13:35 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 2/3)
2026-06-14 20:13:35 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:13:35 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:13:37 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 3/3)
2026-06-14 20:13:37 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:13:37 | ERROR    | websocket | Max retries reached. Closing WebSocket.
2026-06-14 20:15:42 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:15:42 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:15:43 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 20:15:51 | INFO     | gemini_service | [LATENCY] First audio chunk received in 70 ms
2026-06-14 20:15:51 | INFO     | gemini_service | [LATENCY] First audio chunk received in 115 ms
2026-06-14 20:15:51 | INFO     | gemini_service | [LATENCY] First audio chunk received in 36 ms
2026-06-14 20:16:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 66 ms
2026-06-14 20:16:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 91 ms
2026-06-14 20:16:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 56 ms
2026-06-14 20:16:16 | INFO     | gemini_service | [LATENCY] First audio chunk received in 31 ms
2026-06-14 20:16:16 | INFO     | gemini_service | [LATENCY] First audio chunk received in 11 ms
2026-06-14 20:16:17 | WARNING  | gemini_service | User barge-in detected. Sending interrupt signal.
2026-06-14 20:16:18 | INFO     | gemini_service | [LATENCY] First audio chunk received in 69 ms
2026-06-14 20:16:18 | INFO     | gemini_service | [LATENCY] First audio chunk received in 26 ms
2026-06-14 20:16:18 | INFO     | gemini_service | [LATENCY] First audio chunk received in 9 ms
2026-06-14 20:16:19 | INFO     | gemini_service | [LATENCY] First audio chunk received in 5 ms
2026-06-14 20:18:20 | INFO     | websocket | Frontend client disconnected
2026-06-14 20:18:20 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 20:18:20 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:18:20 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:18:23 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 20:18:50 | INFO     | websocket | Frontend client disconnected
2026-06-14 20:18:50 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 20:18:53 | INFO     | gemini_service | Initializing Vertex AI Client for project gencode-497110 in us-central1...
2026-06-14 20:18:53 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:18:53 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:18:55 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 20:19:08 | INFO     | websocket | Wake word received. Triggering Sentinel online greeting.
2026-06-14 20:19:18 | INFO     | websocket | Wake word received. Triggering Sentinel online greeting.
2026-06-14 20:19:18 | INFO     | websocket | Wake word received. Triggering Sentinel online greeting.
2026-06-14 20:19:24 | INFO     | gemini_service | [LATENCY] First audio chunk received in 44 ms
2026-06-14 20:19:24 | INFO     | gemini_service | [LATENCY] First audio chunk received in 91 ms
2026-06-14 20:19:25 | INFO     | gemini_service | [LATENCY] First audio chunk received in 171 ms
2026-06-14 20:20:38 | INFO     | websocket | Frontend client disconnected
2026-06-14 20:20:38 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 20:20:38 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:20:38 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:20:41 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 20:22:37 | INFO     | websocket | Frontend client disconnected
2026-06-14 20:22:37 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 20:22:37 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:22:37 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:22:40 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 20:22:46 | INFO     | websocket | Wake word received. Triggering Sentinel online greeting.
2026-06-14 20:22:47 | INFO     | websocket | Wake word received. Triggering Sentinel online greeting.
2026-06-14 20:23:14 | INFO     | gemini_service | [LATENCY] First audio chunk received in 185 ms
2026-06-14 20:23:14 | INFO     | gemini_service | [LATENCY] First audio chunk received in 1 ms
2026-06-14 20:23:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 90 ms
2026-06-14 20:23:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 176 ms
2026-06-14 20:23:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 11 ms
2026-06-14 20:23:15 | INFO     | gemini_service | [LATENCY] First audio chunk received in 8 ms
2026-06-14 20:24:18 | INFO     | websocket | Frontend client disconnected
